"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CAMBRIDGE BAY GSN","69.108","-105.138","NU","-21.0","1",NA,"-7.6","1","-33.7","0","",,NA,"14.7","1",NA,"8.0","6","",,NA,"1130.7","0.0","2400602"
"CAPE DORSET CLIMATE","64.231","-76.530","NU","-13.2","0",NA,"-1.3","0","-24.3","0","",,NA,"46.0","0",NA,"0.0","14","",,NA,"934.9","0.0","2400636"
"CAPE DORSET A","64.230","-76.525","NU","-13.3","7",NA,"-3.4","7","-23.1","7","",,NA,"0.0","7",NA,"","0","",,NA,"720.7","0.0","2400637"
"CAPE HOOPER","68.473","-66.815","NU","-15.9","1",NA,"-1.8","1","-25.0","1","",,NA,"",,NA,"","","",,NA,"981.8","0.0","2400660"
"CAPE PEEL WEST","69.036","-107.823","NU","-20.9","0",NA,"-8.4","0","-34.0","0","",,NA,"",,NA,"","","",,NA,"1166.8","0.0","2400697"
"CLYDE RIVER CLIMATE","70.483","-68.517","NU","-17.9","9",NA,"1.4","9","-30.1","7","",,NA,"5.1","9",NA,"82.0","2","",,NA,"753.9","0.0","2400802"
"CLYDE RIVER A","70.486","-68.517","NU","-17.7","2",NA,"1.3","2","-29.1","2","",,NA,"0.0","2",NA,"","0","",,NA,"998.5","0.0","2400804"
"CAPE MERCY","64.958","-63.578","NU","-13.6","0",NA,"-3.2","0","-22.6","0","",,NA,"",,NA,"","","",,NA,"947.1","0.0","2400F63"
"DEWAR LAKES","68.650","-71.167","NU","-17.9","0",NA,"-5.8","0","-27.5","0","",,NA,"",,NA,"","","",,NA,"1076.4","0.0","2401030"
"EUREKA CLIMATE","79.989","-85.934","NU","-26.1","1",NA,"-13.1","1","-40.8","0","",,NA,"7.1","1",NA,"12.0","3","",,NA,"1278.0","0.0","2401199"
"EUREKA A","79.994","-85.812","NU","-25.4","0",NA,"-12.7","0","-38.7","0","7.8","0",NA,"5.4","0",NA,"11.0","2","",,NA,"1302.6","0.0","2401203"
"FORT ROSS","72.018","-94.198","NU","-19.3","1",NA,"-3.7","1","-28.8","0","",,NA,"5.8","2",NA,"38.0","1","",,NA,"1081.8","0.0","2402051"
"GRISE FIORD CLIMATE","76.423","-82.902","NU","-21.0","3",NA,"-8.3","2","-31.7","1","",,NA,"11.9","3",NA,"5.0","4","",,NA,"1051.8","0.0","2402351"
"HALL BEACH CLIMATE","68.776","-81.244","NU","-19.1","0",NA,"-2.9","0","-35.6","0","",,NA,"12.3","0",NA,"","2","",,NA,"1114.2","0.0","2402353"
"HALL BEACH A","68.776","-81.243","NU","-19.1","1",NA,"-3.1","1","-35.6","1","",,NA,"0.0","1",NA,"","0","",,NA,"1076.6","0.0","2402354"
"IQALUIT CLIMATE","63.747","-68.544","NU","-13.3","0",NA,"0.7","0","-26.6","0","",,NA,"8.3","0",NA,"23.0","3","",,NA,"938.3","0.0","2402592"
"PANGNIRTUNG","66.143","-65.711","NU","-13.2","0",NA,"3.6","0","-25.4","0","",,NA,"2.0","0",NA,"9.0","0","",,NA,"935.7","0.0","2403049"
"POND INLET CLIMATE","72.693","-77.958","NU","-21.0","0",NA,"-3.1","0","-31.9","0","",,NA,"17.2","0",NA,"42.0","4","",,NA,"1171.1","0.0","2403204"
"POND INLET A","72.689","-77.969","NU","-21.4","10",NA,"-3.2","10","-30.8","10","",,NA,"1.1","10",NA,"","1","",,NA,"788.2","0.0","2403206"
"RESOLUTE BAY A","74.717","-94.969","NU","-21.2","3",NA,"-11.2","2","-31.0","3","10.0","1",NA,"5.4","1",NA,"","3","",,NA,"1059.0","0.0","2403498"
"RESOLUTE CS","74.716","-94.983","NU","-21.7","0",NA,"-8.4","0","-31.0","0","",,NA,"21.2","0",NA,"7.0","4","",,NA,"1191.3","0.0","2403505"
"RESOLUTION ISLAND","61.583","-64.650","NU","-10.9","0",NA,"0.0","0","-19.6","0","",,NA,"",,NA,"","","",,NA,"866.0","0.0","2403602"
"ROWLEY ISLAND","69.083","-79.033","NU","-16.2","0",NA,"-3.7","0","-27.9","0","",,NA,"",,NA,"","","",,NA,"1025.7","0.0","2403625"
"STEFANSSON ISLAND","73.766","-105.296","NU","-23.0","3",NA,"-9.9","3","-37.0","0","",,NA,"9.1","4",NA,"49.0","4","",,NA,"1107.3","0.0","2403756"
"SVARTEVAEG","81.161","-91.816","NU","-25.0","0",NA,"-14.3","0","-35.2","0","",,NA,"",,NA,"23.0","","",,NA,"1289.7","0.0","2403833"
"TALOYOAK A","69.547","-93.577","NU","-21.0","2",NA,"-3.5","2","-34.1","0","15.5","0",NA,"11.6","1",NA,"31.0","4","",,NA,"1093.2","0.0","2403855"
"WAGER BAY (AUT)","65.879","-89.446","NU","-18.2","2",NA,"-3.5","2","-31.5","0","",,NA,"6.8","4",NA,"","4","",,NA,"1012.5","0.0","2403945"
"NANGMAGVIK LAKE","74.139","-119.989","NT","-25.3","27",NA,"-15.1","27","-33.7","21","",,NA,"0.3","29",NA,"","0","",,NA,"130.0","0.0","2500440"
"HOLMAN CS","70.761","-117.800","NT","-18.9","1",NA,"-7.8","1","-30.8","0","",,NA,"122.4","1",NA,"39.0","17","",,NA,"1069.5","0.0","2502505"
"MOULD BAY CS","76.238","-119.347","NT","-21.8","1",NA,"-13.1","1","-34.9","0","",,NA,"0.0","1",NA,"","0","",,NA,"1154.4","0.0","250M001"
"ABEE AGDM","54.283","-112.967","AB","-1.4","3",NA,"25.9","3","-28.6","0","",,NA,"16.8","3",NA,"","4","",,NA,"522.8","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-0.3","1",NA,"27.0","1","-26.6","0","",,NA,"10.2","1",NA,"","2","",,NA,"532.1","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","0.9","1",NA,"27.6","1","-23.4","0","",,NA,"7.2","1",NA,"","2","",,NA,"494.5","0.0","3010162"
"ANDREW AGDM","53.917","-112.279","AB","0.0","5",NA,"26.7","5","-27.5","2","",,NA,"16.4","5",NA,"","3","",,NA,"450.9","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","0.3","6",NA,"27.0","6","-22.7","0","",,NA,"6.2","5",NA,"","2","",,NA,"425.1","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","1.0","1",NA,"26.8","1","-21.9","0","",,NA,"2.2","2",NA,"","1","",,NA,"493.1","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","1.3","1",NA,"26.5","1","-21.3","0","",,NA,"19.2","1",NA,"","5","",,NA,"485.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","0.2","1",NA,"25.8","1","-24.1","0","",,NA,"14.7","1",NA,"","3","",,NA,"515.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","1.4","1",NA,"27.6","1","-21.2","0","",,NA,"5.0","3",NA,"","2","",,NA,"480.9","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","3.3","8","-1.2","27.0","8","-21.4","5","",,NA,"11.7","8",NA,"","1","",,NA,"322.5","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","1.0","2",NA,"26.8","2","-24.3","0","",,NA,"2.7","2",NA,"","1","",,NA,"476.6","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-0.9","0",NA,"25.8","0","-25.6","0","",,NA,"5.2","0",NA,"","1","",,NA,"566.1","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","0.9","6",NA,"26.9","4","-28.0","2","",,NA,"17.2","6",NA,"","4","",,NA,"410.4","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","0.3","2",NA,"26.1","2","-24.8","0","",,NA,"12.9","2",NA,"","3","",,NA,"495.1","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-0.4","9",NA,"27.4","8","-26.3","3","",,NA,"4.7","10",NA,"","2","",,NA,"386.1","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-0.8","3",NA,"26.7","2","-24.4","2","",,NA,"2.1","4",NA,"","1","",,NA,"507.9","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","0.2","1",NA,"27.3","1","-25.9","0","",,NA,"38.7","3",NA,"","9","",,NA,"517.4","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","2.0","0",NA,"27.8","0","-18.0","0","",,NA,"15.6","0",NA,"","4","",,NA,"479.1","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","0.5","1",NA,"27.1","0","-22.4","1","",,NA,"11.0","0",NA,"","5","",,NA,"508.8","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","-0.5","0",NA,"27.3","0","-26.0","0","12.0","0",NA,"15.6","0",NA,"","3","",,NA,"553.6","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","0.4","4",NA,"26.5","4","-22.8","4","",,NA,"11.2","4",NA,"","2","",,NA,"457.4","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","1.5","0","-3.5","27.0","0","-20.0","0","11.0","0","85.0","13.6","0","49.0","0.0","4","","",NA,"494.8","0.0","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","1.0","1","-3.2","27.5","1","-26.6","0","",,NA,"16.6","1",NA,"","4","",,NA,"493.3","0.0","3012275"
"FABYAN","52.967","-111.000","AB","-5.4","9","-9.4","14.5","9","-24.0","8","1.6","9",NA,"11.6","9",NA,"","3","","",NA,"491.1","0.0","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","-0.7","5",NA,"26.4","5","-26.0","3","",,NA,"8.4","7",NA,"","2","",,NA,"466.3","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","0.1","2","-5.7","23.0","2","-22.0","2","1.6","2",NA,"9.8","2",NA,"0.0","2","","",NA,"500.9","0.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","1.0","1",NA,"27.6","1","-23.8","0","",,NA,"10.0","1",NA,"","2","",,NA,"491.7","0.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","3.9","6","-1.1","28.0","6","-25.0","6","2.0","6",NA,"2.0","6",NA,"0.0","1","","",NA,"338.9","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","0.8","3",NA,"27.2","3","-23.5","0","",,NA,"5.4","3",NA,"","2","",,NA,"463.6","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","2.0","1",NA,"26.3","1","-19.6","0","",,NA,"",,NA,"","","",,NA,"463.6","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-0.4","1",NA,"26.0","1","-25.8","0","",,NA,"11.8","23",NA,"","3","",,NA,"534.7","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","0.1","1",NA,"27.4","1","-25.3","0","",,NA,"1.0","18",NA,"","1","",,NA,"518.4","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-0.5","1",NA,"26.3","1","-28.0","0","",,NA,"13.0","12",NA,"","2","",,NA,"537.9","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","5.2","14",NA,"26.8","12","-22.9","6","",,NA,"7.7","15",NA,"","2","",,NA,"205.6","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","0.4","1",NA,"27.4","1","-25.8","0","",,NA,"",,NA,"","","",,NA,"509.0","0.0","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","-2.9","5",NA,"26.4","3","-26.4","3","",,NA,"5.4","5",NA,"","1","",,NA,"522.4","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","0.5","2",NA,"26.8","2","-21.0","0","",,NA,"8.2","2",NA,"","2","",,NA,"489.6","0.0","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","-2.3","3",NA,"26.3","2","-26.3","1","",,NA,"17.4","3",NA,"","3","",,NA,"548.6","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","-1.6","4",NA,"26.7","4","-23.0","4","",,NA,"1.7","4",NA,"","1","",,NA,"510.0","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-0.9","0","-4.8","27.0","0","-23.0","0","5.0","0","37.0","9.2","0","35.0","0.0","2","","",NA,"566.4","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"4.8","2",NA,"9.4","2",NA,"0.0","3","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-0.4","0",NA,"27.1","0","-21.5","0","",,NA,"11.0","0",NA,"","3","",,NA,"552.4","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0","0.0","2.0","0","9.0","0.0","1","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","0.2","1",NA,"26.6","1","-22.1","0","",,NA,"18.6","1",NA,"","3","",,NA,"515.4","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","-1.3","1",NA,"28.0","1","-28.5","0","",,NA,"9.3","1",NA,"","2","",,NA,"560.3","0.0","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","0.6","2",NA,"26.6","2","-23.5","0","",,NA,"9.5","2",NA,"","2","",,NA,"488.5","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","-0.4","4",NA,"27.2","4","-25.8","1","",,NA,"",,NA,"","","",,NA,"477.8","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","-0.2","1",NA,"27.7","1","-28.5","0","",,NA,"",,NA,"","","",,NA,"526.8","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","-0.4","1",NA,"27.8","1","-22.4","0","",,NA,"9.9","1",NA,"4.0","2","",,NA,"532.2","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","0.7","4",NA,"21.5","4","-24.2","0","",,NA,"7.4","3",NA,"","2","",,NA,"450.1","0.0","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","-1.1","2",NA,"26.6","1","-23.7","2","",,NA,"9.7","3",NA,"","3","",,NA,"534.3","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","-0.6","1",NA,"26.5","1","-25.4","0","",,NA,"22.0","1",NA,"","5","",,NA,"539.0","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","0.2","1",NA,"26.8","1","-25.6","0","",,NA,"10.1","4",NA,"","3","",,NA,"515.6","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","0.0","7",NA,"21.5","5","-26.8","4","",,NA,"15.0","6",NA,"","4","",,NA,"414.9","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","-1.1","1",NA,"26.9","1","-28.1","0","",,NA,"17.0","17",NA,"","3","",,NA,"555.1","0.0","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","0.4","1",NA,"27.8","1","-25.7","0","",,NA,"2.7","3",NA,"","1","",,NA,"509.4","0.0","3015797"
"SHONTS AGCM","53.333","-112.539","AB","0.1","1",NA,"27.4","1","-26.6","0","",,NA,"16.5","2",NA,"","3","",,NA,"518.6","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","0.0","1",NA,"25.9","1","-22.7","0","",,NA,"22.9","1",NA,"","5","",,NA,"521.4","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","-0.4","1",NA,"26.9","1","-25.6","0","",,NA,"7.9","22",NA,"","2","",,NA,"532.5","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","-0.3","3",NA,"26.0","3","-23.1","0","",,NA,"6.9","3",NA,"","3","",,NA,"495.1","0.0","3016124"
"THORSBY AGCM","53.217","-113.895","AB","0.6","2",NA,"27.4","2","-25.4","0","",,NA,"12.4","2",NA,"","4","",,NA,"487.7","0.0","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","1.1","0",NA,"26.1","0","-20.4","0","",,NA,"18.0","1",NA,"","3","",,NA,"507.1","0.0","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","-0.4","2",NA,"26.9","1","-24.6","1","",,NA,"13.0","2",NA,"","4","",,NA,"514.4","0.0","3016593"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"15.4","0",NA,"18.8","0",NA,"0.0","4","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","0.0","1",NA,"26.0","1","-20.5","0","",,NA,"17.4","1",NA,"","3","",,NA,"522.5","0.0","3016655"
"VERMILION AGDM","53.344","-110.882","AB","-0.8","7",NA,"20.9","6","-26.0","3","",,NA,"10.2","7",NA,"","3","",,NA,"432.7","0.0","3016802"
"VIKING AGCM","53.182","-111.732","AB","0.4","3",NA,"26.5","3","-21.6","0","",,NA,"9.4","3",NA,"","2","",,NA,"474.8","0.0","3016841"
"VILNA AGCM","54.130","-111.921","AB","-0.8","5",NA,"26.9","3","-27.3","2","",,NA,"13.5","5",NA,"","3","",,NA,"470.3","0.0","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","1.0","0",NA,"26.7","0","-21.1","0","",,NA,"16.1","0",NA,"","2","",,NA,"509.5","0.0","3016860"
"VEGREVILLE","53.505","-112.098","AB","0.4","1","-3.9","27.4","1","-27.0","0","",,NA,"",,NA,"","","",,NA,"511.4","0.0","3016GF0"
"WETASKIWIN AGCM","52.980","-113.444","AB","1.6","4",NA,"27.4","3","-26.0","1","",,NA,"11.9","4",NA,"","3","",,NA,"426.6","0.0","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","1.3","0",NA,"26.9","0","-19.8","0","",,NA,"15.0","0",NA,"","3","",,NA,"499.9","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","1.2","0",NA,"28.5","0","-22.9","0","",,NA,"0.7","0",NA,"","0","",,NA,"502.9","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","3.2","3","-1.9","29.5","2","-21.0","2","11.0","0","118.0","11.0","0","41.0","0.0","2","","",NA,"400.5","0.3","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","0.5","0",NA,"27.0","0","-23.2","0","",,NA,"9.0","0",NA,"","2","",,NA,"524.8","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","1.9","1",NA,"28.1","1","-21.9","0","",,NA,"3.9","3",NA,"","1","",,NA,"467.2","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","2.3","1",NA,"27.8","1","-18.3","0","",,NA,"4.7","2",NA,"","2","",,NA,"455.6","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","-0.5","1",NA,"26.8","1","-27.8","0","",,NA,"17.5","1",NA,"","6","",,NA,"537.7","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","1.1","1",NA,"26.8","1","-21.1","0","",,NA,"10.7","1",NA,"","3","",,NA,"491.0","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","-0.1","1",NA,"27.1","1","-25.7","0","",,NA,"10.7","2",NA,"","3","",,NA,"525.4","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","0.2","2","-4.7","27.0","2","-26.0","2","2.6","2",NA,"5.6","2",NA,"0.0","2","","",NA,"498.5","0.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","1.4","1",NA,"28.4","1","-23.6","0","",,NA,"3.6","25",NA,"","1","",,NA,"481.6","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","-0.5","1",NA,"26.3","1","-27.4","0","",,NA,"20.1","1",NA,"","5","",,NA,"536.6","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","1.1","3",NA,"25.8","2","-21.3","2","",,NA,"11.0","4",NA,"","2","",,NA,"457.3","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","0.5","1",NA,"26.6","1","-27.1","0","",,NA,"21.9","1",NA,"","6","",,NA,"508.7","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","-0.7","1",NA,"27.1","1","-28.6","0","",,NA,"23.1","1",NA,"","6","",,NA,"542.8","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","-0.8","1",NA,"26.7","1","-29.4","0","",,NA,"17.8","3",NA,"","7","",,NA,"544.8","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","-0.4","1",NA,"26.2","1","-26.5","0","",,NA,"15.0","1",NA,"","5","",,NA,"534.0","0.0","3024668"
"OLDS AGDM","51.759","-114.085","AB","-4.4","10",NA,"9.1","10","-21.4","4","",,NA,"15.7","10",NA,"","5","",,NA,"447.3","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","-1.2","8",NA,"20.1","4","-24.4","4","",,NA,"2.3","13",NA,"","1","",,NA,"422.5","0.0","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","-0.4","2",NA,"28.3","2","-25.0","0","",,NA,"5.6","2",NA,"","2","",,NA,"516.4","0.0","3025243"
"PRENTISS","52.433","-113.600","AB","0.4","2",NA,"25.6","2","-22.1","0","",,NA,"7.3","12",NA,"","2","",,NA,"491.8","0.0","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","-0.9","0",NA,"25.7","0","-28.5","0","",,NA,"",,NA,"","","",,NA,"566.2","0.0","3025481"
"SCHULER AGDM","50.307","-110.091","AB","2.8","3",NA,"27.7","3","-19.4","0","",,NA,"4.2","5",NA,"","1","",,NA,"411.7","0.0","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","-8.6","18",NA,"7.0","18","-27.5","18","0.0","18",NA,"0.0","18",NA,"","0","","",NA,"319.3","0.0","3025928"
"THREE HILLS","51.768","-113.206","AB","-0.3","1",NA,"27.6","1","-28.6","0","",,NA,"13.4","5",NA,"","4","",,NA,"529.6","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","-0.6","1",NA,"25.8","1","-23.9","0","",,NA,"22.2","1",NA,"","4","",,NA,"539.2","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","-0.1","1",NA,"25.9","1","-29.0","0","",,NA,"16.6","1",NA,"","3","",,NA,"524.0","0.0","3027582"
"AZURE","50.512","-114.013","AB","0.8","1",NA,"26.7","1","-18.5","0","",,NA,"12.4","19",NA,"","3","",,NA,"498.0","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","3.5","4",NA,"29.1","3","-22.5","1","",,NA,"17.1","5",NA,"","4","",,NA,"377.3","0.0","3030525"
"BARONS AGCM","50.026","-113.224","AB","1.1","1",NA,"28.2","1","-23.7","0","",,NA,"28.9","1",NA,"","6","",,NA,"488.8","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","0.3","1",NA,"28.1","1","-26.1","0","",,NA,"12.7","1",NA,"","3","",,NA,"512.0","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","0.0","1",NA,"26.2","1","-21.5","0","",,NA,"10.5","20",NA,"","2","",,NA,"520.7","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","2.4","5",NA,"28.3","4","-21.2","1","",,NA,"23.6","13",NA,"","5","",,NA,"388.9","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","3.0","1",NA,"28.2","1","-19.3","0","",,NA,"10.1","1",NA,"","5","",,NA,"434.2","0.3","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","3.7","1",NA,"28.0","1","-16.3","0","",,NA,"11.1","3",NA,"","3","",,NA,"416.0","0.7","3030772"
"BROCKET AGDM","49.617","-113.817","AB","1.8","2",NA,"26.3","2","-18.8","0","",,NA,"23.8","5",NA,"","7","",,NA,"452.4","0.0","3030830"
"BROOKS","50.555","-111.849","AB","2.1","1",NA,"29.0","1","-21.6","0","",,NA,"10.5","1",NA,"","3","",,NA,"461.7","0.0","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","1.6","0",NA,"26.0","0","-15.7","0","24.6","0",NA,"29.7","0",NA,"","5","",,NA,"492.4","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","0.9","0",NA,"26.3","0","-16.1","0","",,NA,"21.3","0",NA,"","6","",,NA,"512.5","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","2.8","1",NA,"27.1","1","-18.5","0","",,NA,"36.4","1",NA,"","8","",,NA,"440.3","0.0","3031322"
"CARWAY","49.001","-113.376","AB","1.1","1",NA,"22.5","1","-18.6","0","",,NA,"33.0","1",NA,"1.0","8","",,NA,"489.4","0.0","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","0.2","1",NA,"28.2","1","-23.3","0","",,NA,"21.4","1",NA,"","5","",,NA,"517.2","0.0","3031480"
"CLARESHOLM","50.004","-113.639","AB","1.5","1",NA,"28.3","1","-22.9","0","",,NA,"31.0","1",NA,"","7","",,NA,"478.7","0.0","3031640"
"COP UPPER","51.076","-114.222","AB","2.3","1",NA,"26.4","1","-16.0","0","",,NA,"15.2","13",NA,"","3","",,NA,"455.4","0.0","3031875"
"ENCHANT AGDM","50.183","-112.433","AB","2.0","1",NA,"28.4","1","-21.5","0","",,NA,"21.2","3",NA,"","3","",,NA,"464.1","0.0","3032422"
"ETZIKOM AGCM","49.553","-111.054","AB","2.5","1",NA,"27.4","1","-18.8","0","",,NA,"9.8","3",NA,"","3","",,NA,"448.8","0.0","3032450"
"FINCASTLE AGDM","49.800","-112.033","AB","2.8","1",NA,"28.7","1","-20.3","0","",,NA,"17.0","3",NA,"","5","",,NA,"439.4","0.0","3032550"
"FOREMOST AGDM","49.483","-111.486","AB","1.4","17",NA,"27.7","16","-22.0","14","",,NA,"7.5","17",NA,"","3","",,NA,"215.5","0.0","3032642"
"FORT MACLEOD AGCM","49.786","-113.379","AB","2.2","1",NA,"27.9","1","-20.9","0","",,NA,"24.6","8",NA,"","7","",,NA,"458.1","0.0","3032683"
"GLEICHEN AGCM","50.934","-112.941","AB","0.3","1",NA,"27.6","1","-21.9","0","",,NA,"12.2","1",NA,"","3","",,NA,"512.5","0.0","3032801"
"GRASSY LAKE","49.874","-111.733","AB","2.8","3",NA,"28.7","3","-18.0","0","",,NA,"16.4","7",NA,"","4","",,NA,"412.0","0.3","3032927"
"IRON SPRINGS AGDM","49.900","-112.733","AB","2.4","8",NA,"24.9","8","-20.0","0","",,NA,"26.8","9",NA,"","5","",,NA,"342.2","0.0","3033498"
"IRVINE AGCM","49.989","-110.261","AB","4.7","1",NA,"28.7","1","-15.2","0","",,NA,"3.9","3",NA,"","1","",,NA,"387.6","1.5","3033550"
